"","V1","V2"
"SS2_16_688:H9_unique.bam",10.5028610229492,7.85696935653687
"SS2_16_688:H12_unique.bam",8.84198093414307,2.48812341690063
"SS2_16_688:H14_unique.bam",9.48341655731201,4.10044860839844
"SS2_16_688:H20_unique.bam",9.59971618652344,5.22182321548462
"SS2_16_688:H23_unique.bam",10.6872119903564,8.0320291519165
"SS2_16_688:I1_unique.bam",10.0020084381104,4.5727801322937
"SS2_16_688:I3_unique.bam",9.3463020324707,2.61520338058472
"SS2_16_688:I7_unique.bam",10.3504476547241,2.29367876052856
"SS2_16_688:I13_unique.bam",10.5199384689331,6.35257959365845
"SS2_16_688:I14_unique.bam",-5.60505390167236,-4.33347415924072
"SS2_16_688:I16_unique.bam",6.25278329849243,1.44892621040344
"SS2_16_688:I20_unique.bam",9.44305038452148,3.00023865699768
"SS2_16_688:I21_unique.bam",7.73131418228149,0.610025525093079
"SS2_16_688:I22_unique.bam",10.9155931472778,6.48751354217529
"SS2_16_688:J2_unique.bam",10.4768075942993,8.14578723907471
"SS2_16_688:J7_unique.bam",7.74608325958252,1.89917469024658
"SS2_16_688:J13_unique.bam",10.8114709854126,6.73420715332031
"SS2_16_688:J11_unique.bam",9.17422962188721,2.94132280349731
"SS2_16_688:J20_unique.bam",11.1103706359863,7.00492572784424
"SS2_16_688:J21_unique.bam",10.5859785079956,6.26027154922485
"SS2_16_688:J24_unique.bam",11.1476306915283,8.02868843078613
"SS2_16_688:K3_unique.bam",9.68428134918213,3.89203453063965
"SS2_16_688:K2_unique.bam",10.5282230377197,4.04735088348389
"SS2_16_688:K18_unique.bam",7.81024312973022,1.4495929479599
"SS2_16_688:K17_unique.bam",10.238242149353,7.89009284973145
"SS2_16_688:K20_unique.bam",9.4497184753418,3.54805779457092
"SS2_16_688:L1_unique.bam",10.9264364242554,6.64041709899902
"SS2_16_688:K23_unique.bam",10.9529991149902,6.89038276672363
"SS2_16_688:K24_unique.bam",9.23422145843506,3.15832710266113
"SS2_16_688:L4_unique.bam",7.99388265609741,1.58319783210754
"SS2_16_688:L6_unique.bam",10.6936016082764,5.95383739471436
"SS2_16_688:L13_unique.bam",9.14277362823486,2.44759774208069
"SS2_16_688:L16_unique.bam",9.84482002258301,5.4672212600708
"SS2_16_688:L22_unique.bam",10.6953258514404,5.94412660598755
"SS2_16_688:M5_unique.bam",11.0943822860718,7.69600248336792
"SS2_16_688:M10_unique.bam",10.6870889663696,7.93080234527588
"SS2_16_688:M11_unique.bam",10.494481086731,5.13034057617188
"SS2_16_688:M14_unique.bam",6.48521709442139,1.13337433338165
"SS2_16_688:M17_unique.bam",10.4889965057373,7.902663230896
"SS2_16_688:M22_unique.bam",9.68634223937988,2.61846852302551
"SS2_16_688:N1_unique.bam",1.39875519275665,0.823494136333466
"SS2_16_688:N7_unique.bam",10.9167633056641,6.23668479919434
"SS2_16_688:N5_unique.bam",10.7479791641235,6.43113565444946
"SS2_16_688:N8_unique.bam",9.11198139190674,3.04154491424561
"SS2_16_688:N15_unique.bam",9.69377326965332,4.7266001701355
"SS2_16_688:N18_unique.bam",9.63028526306152,5.33861827850342
"SS2_16_688:N20_unique.bam",10.6717309951782,7.81312656402588
"SS2_16_688:N22_unique.bam",10.1425371170044,6.90044212341309
"SS2_16_688:O5_unique.bam",8.91065406799316,1.91931200027466
"SS2_16_688:O8_unique.bam",10.1500625610352,7.7239351272583
"SS2_16_688:O9_unique.bam",8.30094528198242,2.45121693611145
"SS2_16_688:P2_unique.bam",8.61844539642334,2.23461198806763
"SS2_16_688:P4_unique.bam",10.7614603042603,5.7301197052002
"SS2_16_688:P5_unique.bam",10.7442722320557,5.66817045211792
"SS2_16_688:P6_unique.bam",10.2912864685059,7.97254133224487
"SS2_16_688:P12_unique.bam",11.3713884353638,7.78774261474609
"SS2_16_688:P20_unique.bam",10.1926794052124,7.56204462051392
"SS2_16_688:P22_unique.bam",9.97566890716553,3.647784948349
"SS2_16_769:A3_unique.bam",5.77635335922241,1.02854585647583
